,word,ami,entropy,l_e,r_e,pos,freq,idf,score
0,……,3.8786023936265166,5.677622754786867,4.058813890331201,2.967064753975466,n_n,18,4.6795558973464875,1311.6076483530394
1,唐小虎,4.726027366852697,5.062857911444293,2.7121168268195084,3.7489948035250964,n_n_n,21,3.414030829362592,1497.3697269689476
2,自己的,4.079888249541799,4.79888826388859,2.807354922057604,2.807354922057604,n_n_n,7,3.345842159018304,693.2715307294051
3,——,4.367242355376475,4.79888826388859,2.807354922057604,2.807354922057604,n_n,7,5.372703077906433,893.7396923344661
4,徐江,3.667256857715377,4.530040581241107,2.2018210724862937,5.107364383408408,n_n,47,3.344935434381258,1142.8818738000325
5,高启强,4.620417522079784,4.111739345871124,1.93809738399246,5.625644787408113,n_n_n,67,2.9592525107153462,1840.713575776443
6,疯驴子,5.738169261982901,3.8138391134702414,2.2221915755066783,2.845350936622437,n_n_n,11,4.2661090811808835,1238.5798572166386
7,李响,3.7244195714033665,3.7705734384912852,1.7947122420065014,5.455525540404616,n_n,57,3.289226932202373,1046.2091745103733
8,看着安欣,3.6475643473201087,3.755597332506463,2.321928094887362,2.321928094887362,n_n_n_n,5,2.5114383910819846,384.6444933144942
9,彩电,3.716037130163664,3.755597332506463,2.321928094887362,2.321928094887362,n_n,5,4.526540291786499,423.771469159309
10,京海市,5.412805921261854,3.729596620292976,2.1887870678023824,2.7773627950641693,n_n_n,13,4.027458857988376,1172.5924627380955
11,安长林,4.755687657702041,3.6223240466086435,1.8886333067471097,4.088779347361362,n_n_n,23,3.387136226349219,1119.327555933476
12,京海,4.045314260489112,3.5189651049361688,3.0589840894454268,2.00633093059618,n_n,21,4.004478240094478,783.6895682915662
13,徐忠,3.6665892523734676,3.3614140595234008,1.8387586809150083,3.503701696057348,n_n,20,3.759575111823521,621.6691149728565
14,饺子,3.3786023936265166,3.1086182394370634,1.9219280948873623,2.321928094887362,n_n,5,4.2214105314094095,297.4187351966545
15,有什么,3.9973204129199207,3.1086182394370634,2.321928094887362,1.9219280948873623,n_n_n,5,3.364937038451778,373.98853463038876
16,看了一眼,3.6701314022615827,3.075799245833404,1.9182958340544893,2.251629167387823,n_n_n_n,6,2.479885073941463,342.8599708931568
17,兄妹,4.3989233858751895,3.0757992458334034,1.9182958340544893,2.2516291673878226,n_n,6,4.984685657723576,495.6088356901601
18,小虎,3.363728721929491,2.9741708203675756,1.5354631091522575,4.219528282299547,n_n,34,3.3212283731986227,581.2277281742372
19,徐雷,3.135888980041396,2.949697608197551,1.9219280948873623,1.9219280948873623,n_n,5,4.106148702103493,254.78807931460761
20,审讯室,6.189619119509481,2.948230880643814,2.2359263506290326,1.8423709931771088,n_n_n,7,4.7136488470532925,910.3149040780996
21,唐小龙,4.61309339570211,2.920436837710322,1.5569010760354054,3.807763576417195,n_n_n,17,3.4063676566210255,756.8608440571288
22,纪泽,4.569441844792723,2.8524812542397417,1.5055213905049434,3.9321380397593737,n_n,19,4.4149685161293934,752.5088633057936
23,刑警,3.4952459248463876,2.7005847661682365,3.0,1.5487949406953985,n_n,8,4.106148702103493,328.87924958288903
24,孟德海,5.646171991742733,2.429627154732393,1.3009376049438532,3.7544418457133437,n_n_n,22,3.9947717869296375,1028.1513306413583
25,医院的,4.165713209705763,2.2836883400822674,1.3787834934861753,2.5216406363433186,n_n_n,7,3.389241305286559,341.2225340483645
26,高启兰,4.705697156889647,2.2646676710110665,1.2987949406953985,3.0,n_n_n,8,3.6953439818896143,445.54165140064686
27,值班,5.010119596543413,2.2646676710110665,3.0,1.2987949406953985,n_n,8,5.0885053401126985,489.9018238482517
28,孟钰,4.419833473722504,2.217440930608091,1.3709505944546687,2.321928094887362,n_n,5,4.896373889883917,321.91320848435026
29,刑侦,4.720851480762552,2.1040795959939107,1.9219280948873623,1.3709505944546687,n_n,5,5.117290266023437,340.9799253705375
30,高启盛,4.516683625981682,2.0556881227870436,1.224394445405986,2.6416041678685933,n_n_n,9,3.538676105474369,394.2747430994698
31,手术台,5.3512277293213835,1.9804927470869744,1.5219280948873621,1.3709505944546687,n_n_n,5,4.298922438785301,407.5034527325762
32,羽毛球,7.074967652437028,1.9804927470869744,1.3709505944546687,1.5219280948873621,n_n_n,5,5.376843917905951,673.8607143915299
33,麻子,3.3288345568510596,1.9638165648517616,1.1488348542809166,2.807354922057604,n_n,7,4.03754814134675,209.49859687630212
34,唐小,3.4179574062919493,1.7434458713744603,3.049188832294961,0.9949848281859701,n_n,48,3.2166824742693434,398.4053677134371
35,高启,3.5161560126937013,1.4700626812120996,2.6015804434455694,0.8795147658572877,n_n,102,2.909344691710118,455.63859957512784
36,龚开疆,5.719822140796914,1.4592045434357876,0.8166890883150209,3.2516291673878226,n_n_n,12,4.2335283195899045,489.61169321758234
37,曹闯,4.31881158575018,1.4220914749100508,0.7253759284051439,4.3845171317931,n_n,27,4.058493612201331,388.5615243620488
38,转头看,4.3311545222186885,1.4026476357903803,0.9709505944546686,1.5219280948873621,n_n_n,5,3.6255290795709314,197.00109888025565
39,柴敏,5.072885037585343,1.378332699778727,0.8112781244591328,2.75,n_n,8,5.128526693949466,304.27617522774676
40,徐忠看,4.026799734475782,1.3674453389807584,0.9709505944546686,1.3709505944546687,n_n_n,5,3.420254713862464,168.45094441373791
41,200,6.226444631630005,1.3401326873503396,0.9182958340544896,1.584962500721156,n_n_n,6,5.505125858207761,450.0811241519899
