,word,ami,entropy,l_e,r_e,pos,freq,idf,score
0,疯驴子,4.526116809726223,3.980112026443541,2.2221915755066783,3.277613436819116,a_n,11,4.864104629315132,581.2330493568621
1,京海市,4.807584906921801,3.3090394892714814,1.9473387961875537,2.751629167387823,ns_ns,12,5.004978297781115,827.4523418402816
2,唐小龙,3.6688842225279936,2.920436837710322,1.5569010760354054,3.807763576417195,nr_nr,17,4.088805923109549,541.9060972446556
3,审讯室,4.439102109838698,2.874067899306596,2.2516291673878226,1.7924812503605778,v_n,6,5.0885053401126985,318.04459140560994
4,不孕不育医院,6.114735864081829,2.6269592884920963,2.1280852788913944,1.6644977792004614,v_v_n,7,4.975519649797306,422.9105365507407
5,两人,3.838285179253873,2.217440930608091,1.3709505944546687,2.321928094887362,m_n,5,4.748974119773595,180.76073535865527
6,用手,4.119100177699139,2.0881164341083025,1.2516291673878228,2.584962500721156,p_n,6,4.882288451400569,205.72454998742333
7,龚开疆,4.2638534862966315,1.4816922278206328,0.8166890883150209,3.418295834054489,nr_ns,12,4.652522286711349,305.46440892793584
