,number,name,bid,vat_number,city_or_mun,language,mun_center,province,subregion,population,area_total_km2,area_land_km2,population_density_km-2
0,020,Akaa,2050864-5,FI20508645,kaupunki,suomi,Toijalan keskustaajama,Pirkanmaa,Etelä-Pirkanmaan seutukunta,16440,31438.0,29326.0,561.0
1,005,Alajärvi,0177619-3,FI01776193,kaupunki,suomi,Alajärven keskustaajama,Etelä-Pohjanmaa,Järviseudun seutukunta,9270,1056.75,1008.77,92.0
2,009,Alavieska,0184674-5,FI01846745,kunta,suomi,Alavieskan kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta,2484,25302.0,25150.0,99.0
3,010,Alavus,0177736-4,FI01777364,kaupunki,suomi,Alavuden keskustaajama,Etelä-Pohjanmaa,Kuusiokuntien seutukunta,11210,1151.5,1087.24,103.0
4,016,Asikkala,0145208-4,FI01452084,kunta,suomi,Vääksy,Päijät-Häme,Lahden seutukunta,8043,75555.0,56334.0,143.0
5,018,Askola,9000162-0,FI90001620,kunta,suomi,Askolan kirkonkylä,Uusimaa,Porvoon seutukunta,4819,21803.0,21244.0,227.0
6,019,Aura,0132103-3,FI01321033,kunta,suomi,Auran asemanseutu,Varsinais-Suomi,Loimaan seutukunta,3975,9558.0,9501.0,418.0
7,035,Brändö,0204999-1,FI02049991,kunta,ruotsi,Åva,Ahvenanmaa,Ålands skärgård,444,10844.0,10818.0,41.0
8,043,Eckerö,0144682-1,FI01446821,kunta,ruotsi,Överby,Ahvenanmaa,Ålands landsbygd,935,10918.0,10772.0,87.0
9,046,Enonkoski,0163687-9,FI01636879,kunta,suomi,Enonkosken kirkonkylä,Etelä-Savo,Savonlinnan seutukunta,1355,41921.0,30555.0,44.0
10,047,Enontekiö,0190662-1,FI01906621,kunta,"suomi, pohjoissaame",Hetta,Lappi,Tunturi-Lapin seutukunta,1808,8391.31,7953.44,2.0
11,049,Espoo,0101263-6,FI01012636,kaupunki,"suomi, ruotsi",Espoon keskus,Uusimaa,Helsingin seutukunta,300748,33025.0,31234.0,9629.0
12,050,Eura,0132239-4,FI01322394,kunta,suomi,Euran keskustaajama,Satakunta,Rauman seutukunta,11379,63020.0,57887.0,197.0
13,051,Eurajoki,0132322-3,FI01323223,kunta,suomi,Eurajoen kirkonkylä,Satakunta,Rauman seutukunta,9250,52091.0,51500.0,18.0
14,052,Evijärvi,0177804-1,FI01778041,kunta,suomi,Evijärven kirkonkylä,Etelä-Pohjanmaa,Järviseudun seutukunta,2376,39071.0,35415.0,67.0
